Unit Number,Beneficial Interest,Owner Type,VoteBinary,Vote
3002,0.95,Primary Owner,0,N
3004,0.65,Primary Owner,0,N
3006,0.75,Primary Owner,0,N
3007,0.6,Primary Owner,0,N
3008,1.1,Primary Owner,0,N
3009,0.6,Primary Owner,0,N
3010,1.1,Primary Owner,0,N
3011,0.6,Primary Owner,0,N
3012,0.75,Owner,0,N
3013,0.6,Primary Owner,0,N
3014,0.9,Primary Owner,0,N
3101,0.7,Owner,0,N
3102,1.0,Primary Owner,0,N
3103,0.75,Primary Owner,0,N
3104,0.75,Primary Owner,0,N
3105,0.7,Primary Owner,0,N
3106,0.75,Primary Owner,0,N
3107,0.65,Primary Owner,0,N
3108,0.75,Primary Owner,0,N
3109,0.7,Primary Owner,0,N
3110,0.75,Primary Owner,0,N
3111,0.7,Primary Owner,0,N
3112,0.75,Primary Owner,0,N
3113,0.65,Primary Owner,0,N
3114,0.8,Primary Owner,0,N
3115,0.7,Primary Owner,0,N
3116,1.0,Primary Owner,0,N
3117,0.75,Primary Owner,0,N
3201,0.75,Primary Owner,0,N
3202,0.95,Owner,0,N
3203,0.75,Primary Owner,0,N
3204,0.75,Primary Owner,0,N
3205,1.1,Primary Owner,0,N
3206,0.8,Primary Owner,0,N
3207,1.1,Primary Owner,0,N
3208,0.8,Primary Owner,0,N
3210,0.75,Primary Owner,0,N
3211,1.1,Primary Owner,0,N
3212,0.8,Primary Owner,0,N
3213,1.1,Primary Owner,0,N
3214,1.1,Primary Owner,0,N
3215,0.75,Primary Owner,0,N
3216,0.95,Primary Owner,0,N
3301,0.75,Primary Owner,0,N
3302,1.0,Primary Owner,0,N
3303,0.75,Primary Owner,0,N
3304,0.75,Primary Owner,0,N
3305,1.1,Primary Owner,0,N
3306,0.8,Primary Owner,0,N
3307,1.1,Primary Owner,0,N
3308,0.8,Primary Owner,0,N
3310,0.75,Primary Owner,0,N
3311,1.1,Owner,0,N
3312,0.8,Primary Owner,0,N
3313,1.1,Primary Owner,0,N
3314,1.1,Primary Owner,0,N
3315,0.75,Primary Owner,0,N
3316,1.1,Primary Owner,0,N
3401,0.75,Primary Owner,0,N
3402,1.0,Primary Owner,0,N
3403,0.8,Primary Owner,0,N
3404,0.8,Primary Owner,0,N
3405,1.1,Primary Owner,0,N
3406,0.8,Primary Owner,0,N
3407,1.1,Primary Owner,0,N
3408,1.2,Primary Owner,0,N
3409,1.1,Primary Owner,0,N
3410,1.2,Primary Owner,0,N
3411,1.1,Primary Owner,0,N
3412,1.2,Primary Owner,0,N
3413,0.8,Primary Owner,0,N
3414,1.2,Primary Owner,0,N
3501,0.8,Primary Owner,0,N
3502,1.0,Owner,0,N
3503,0.85,Primary Owner,0,N
3504,0.85,Primary Owner,0,N
3505,1.2,Primary Owner,0,N
3506,0.9,Primary Owner,0,N
3507,1.2,Primary Owner,0,N
3508,1.1,Primary Owner,0,N
3509,1.2,Primary Owner,0,N
3510,1.3,Primary Owner,0,N
3511,1.2,Primary Owner,0,N
3512,1.1,Primary Owner,0,N
3513,0.85,Primary Owner,0,N
3514,1.0,Primary Owner,0,N
4002,0.65,Primary Owner,0,N
4004,0.65,Owner,0,N
4101,0.9,Primary Owner,0,N
4102,1.0,Primary Owner,0,N
4103,0.7,Owner,0,N
4104,0.7,Primary Owner,0,N
4105,0.7,Primary Owner,0,N
4201,1.0,Primary Owner,0,N
4202,1.0,Owner,0,N
4203,0.75,Owner,0,N
4204,0.75,Primary Owner,0,N
4205,0.75,Primary Owner,0,N
4301,0.95,Primary Owner,0,N
4302,1.1,Primary Owner,0,N
4303,0.75,Primary Owner,0,N
4304,0.75,Primary Owner,0,N
4305,0.75,Primary Owner,0,N
4401,1.1,Primary Owner,0,N
4402,1.0,Primary Owner,0,N
4403,0.75,Primary Owner,0,N
4404,0.75,Primary Owner,0,N
4405,0.75,Owner,0,N
4501,1.0,Owner,0,N
4502,1.0,Primary Owner,0,N
4503,0.8,Primary Owner,0,N
4504,0.75,Primary Owner,0,N
4505,0.8,Primary Owner,0,N
